signal_date,ticker,pattern_type,score,date,day_offset,open,high,low,close,volume,daily_return_pct
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-23,-25,87.05,89.27,85.41,86.51,246777,-0.6203
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-24,-24,87.0,87.0,84.32,85.48,89122,-1.7471
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-27,-23,86.5,91.8,84.55,89.46,314747,3.422
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-28,-22,90.0,90.47,85.75,86.23,209705,-4.1889
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-29,-21,86.23,91.49,85.1,90.0,549907,4.372
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-04-30,-20,90.5,95.95,85.6,89.07,4410279,-1.5801
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-04,-19,90.41,91.0,89.15,90.23,379667,-0.1991
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-05,-18,90.69,92.0,88.5,90.99,358471,0.3308
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-06,-17,91.0,93.91,89.25,92.56,753828,1.7143
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-07,-16,92.9,94.05,91.69,93.13,576859,0.2476
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-08,-15,92.0,94.53,91.1,91.47,244897,-0.5761
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-11,-14,91.98,91.98,89.0,89.73,297910,-2.4462
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-12,-13,89.1,89.49,85.01,85.83,313469,-3.67
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-13,-12,85.98,89.4,85.66,88.84,360750,3.3264
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-14,-11,89.0,91.47,88.11,89.47,250003,0.5281
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-15,-10,89.9,89.9,87.16,87.58,64991,-2.5806
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-18,-9,86.98,87.02,84.51,85.81,137280,-1.3451
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-19,-8,85.09,88.69,85.09,86.88,137068,2.1037
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,2026-05-20,-7,86.26,91.8,86.01,91.24,522723,5.7732
